Category;Category.Id;Category.ParentId;Category.Name;Category.Link;Category.PictureLink;Category.BaseLink;Category.FileName
WebScraper.Category;124;7;"universal player";"";"";https://audio-database.com/LUXMAN;""
WebScraper.Category;125;5;"2.1ch speaker set";"";"";https://audio-database.com/BOSE/speaker;""
WebScraper.Category;126;5;"5.1ch speaker set";"";"";https://audio-database.com/BOSE/speaker;""
WebScraper.Category;127;8;"4 ch pre-main amplifier";"";"";https://audio-database.com/BOSE/amp;""
WebScraper.Category;128;8;"power amplifier";"";"";https://audio-database.com/BOSE/amp;""
WebScraper.Category;129;8;"cd amplifier";"";"";https://audio-database.com/BOSE/amp;""
WebScraper.Category;130;14;"bose speaker used in the space shuttle";"";"";https://audio-database.com/BOSE/photo;""
WebScraper.Category;14;0;photo;"";"";"";""
WebScraper.Category;131;12;"speaker kit";"";"";https://audio-database.com/BRAUN/kit;""
WebScraper.Category;132;8;"pre-main amplifier / integrated amplifier";"";"";https://audio-database.com/KRELL;""
WebScraper.Category;133;8;"av preamplifier";"";"";https://audio-database.com/SONY-ESPRIT;""
WebScraper.Category;134;8;"5-channel power amplifier";"";"";"";""
WebScraper.Category;135;2;"channel divider / electronic crossover";"";"";"";""
WebScraper.Category;136;8;"d/a converter / digital processor";"";"";"";""
WebScraper.Category;137;2;"phono equalizer";"";"";https://audio-database.com/CEC;""
WebScraper.Category;138;5;"center speakra";"";"";https://audio-database.com/BandW/speaker;""
WebScraper.Category;139;5;subwoofer(passive);"";"";https://audio-database.com/BandW/speaker;""
WebScraper.Category;140;2;"speaker stand";"";"";https://audio-database.com/BandW/etc;""
WebScraper.Category;141;5;"speaker system / active speakers";"";"";https://audio-database.com/CABASSE/speaker;""
WebScraper.Category;142;9;"headphone stereo";"";"";"";""
WebScraper.Category;143;7;"cd recorder";"";"";https://audio-database.com/CEC/player;""
WebScraper.Category;144;2;"headphone amplifier";"";"";https://audio-database.com/CEC/etc;""
WebScraper.Category;145;2;turntable;"";"";https://audio-database.com/CEC/etc;""
WebScraper.Category;146;4;"coaxial type speaker unit";"";"";https://audio-database.com/CELESTION/unit;""
WebScraper.Category;147;2;"dolby nr unit";"";"";"";""
WebScraper.Category;148;6;"cs tuner for music bird";"";"";"";""
WebScraper.Category;149;4;"full-range unit";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;150;4;"coaxial type unit";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;151;4;"woofer unit";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;152;4;"mid-range unit";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;153;4;"tweeter unit";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;154;4;"driver unit";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;155;4;horn;"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;156;4;"acoustic lens";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;157;4;"horn adapter / mounting flange";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;158;4;"dron cone / passive radiator";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;159;4;network;"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;160;4;enclosure;"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;161;4;"カーオディ unit";"";"";https://audio-database.com/CORAL/unit;""
WebScraper.Category;162;2;"phase inverter";"";"";https://audio-database.com/COUNTERPOINT/etc;""
WebScraper.Category;163;2;equalizer;"";"";https://audio-database.com/AMCRON/etc;""
WebScraper.Category;164;2;"output control center";"";"";https://audio-database.com/AMCRON/etc;""
WebScraper.Category;165;2;"real-time analyzer";"";"";https://audio-database.com/AMCRON/etc;""
WebScraper.Category;166;5;"speaker unit";"";"";https://audio-database.com/ESS;""
WebScraper.Category;167;7;"record player / turntable";"";"";"";""
WebScraper.Category;168;2;"power supply unit";"";"";https://audio-database.com/CYRUS-MISSION/etc;""
WebScraper.Category;169;2;"mm type cartridge";"";"";https://audio-database.com/CYRUS-MISSION/etc;""
